60000,2471.7,2471.7,2471.7,2471.7,0,2472.2,2472.2,2472.2,2472.2,0
660000,2472,2472,2472,2472,0,2472.5,2472.5,2472.5,2472.5,0
780000,2471.7,2471.7,2471.7,2471.7,0,2472.2,2472.2,2472.2,2472.2,0
1320000,2471.8,2472,2471.8,2472,0,2472.5,2472.5,2472.5,2472.5,0
1560000,2471.7,2471.7,2471.7,2471.7,0,2472.2,2472.2,2472.2,2472.2,0
2700000,2472,2472,2471.7,2471.7,0,2472.5,2472.5,2472.2,2472.2,0
2880000,2472,2472,2471.7,2472,0,2472.5,2472.5,2472.2,2472.5,0
3000000,2471.7,2471.7,2471.7,2471.7,0,2472.2,2472.2,2472.2,2472.2,0
3180000,2472,2472,2472,2472,0,2472.5,2472.5,2472.5,2472.5,0
3300000,2471.7,2471.7,2471.7,2471.7,0,2472.2,2472.2,2472.2,2472.2,0
3720000,2471.4,2471.4,2471.4,2471.4,0,2471.9,2471.9,2471.9,2471.9,0
3960000,2471.7,2471.7,2471.7,2471.7,0,2472.2,2472.2,2472.2,2472.2,0
4500000,2471.6,2471.6,2471.5,2471.5,0,2472.3,2472.3,2472,2472,0
4560000,2471.6,2471.7,2471.4,2471.4,0,2472.3,2472.3,2471.9,2471.9,0
4620000,2471.2,2471.5,2471.2,2471.5,0,2471.9,2472,2471.7,2472,0
4680000,2471.2,2471.2,2471.2,2471.2,0,2471.7,2471.7,2471.7,2471.7,0
4740000,2471.5,2471.5,2471.5,2471.5,0,2472,2472,2472,2472,0
4800000,2471.2,2471.2,2471.2,2471.2,0,2471.7,2471.7,2471.7,2471.7,0
4860000,2471.5,2471.5,2471.2,2471.5,0,2472,2472,2471.7,2472,0
4980000,2471.2,2471.5,2471.2,2471.2,0,2471.7,2472,2471.7,2471.7,0
5040000,2471.5,2471.5,2471.2,2471.2,0,2472,2472,2471.7,2471.7,0
5100000,2471.5,2471.5,2471.5,2471.5,0,2472,2472,2472,2472,0
5220000,2471.2,2471.2,2471.2,2471.2,0,2471.7,2471.7,2471.7,2471.7,0
5280000,2471.5,2471.5,2471.5,2471.5,0,2472,2472,2472,2472,0
5820000,2471.8,2471.8,2471.8,2471.8,0,2472.3,2472.3,2472.3,2472.3,0
6960000,2471.5,2471.5,2471.5,2471.5,0,2472,2472,2472,2472,0
7860000,2471.2,2471.2,2471.2,2471.2,0,2471.7,2471.7,2471.7,2471.7,0
7920000,2470.9,2471,2470.9,2471,0,2471.6,2471.6,2471.5,2471.5,0
8700000,2471.3,2471.3,2471.3,2471.3,0,2471.8,2471.8,2471.8,2471.8,0
10980000,2471.3,2471.3,2471.3,2471.3,0,2471.8,2471.8,2471.8,2471.8,0
11160000,2471,2471.2,2471,2471.2,0,2471.5,2471.7,2471.5,2471.7,0
11460000,2471.3,2471.4,2471.3,2471.4,0,2472,2472,2471.9,2471.9,0
11640000,2471.3,2471.5,2471.3,2471.5,0,2472,2472,2472,2472,0
12120000,2471.2,2471.2,2471.2,2471.2,0,2471.7,2471.7,2471.7,2471.7,0
12240000,2471.3,2471.5,2471.3,2471.5,0,2472,2472,2472,2472,0
12480000,2471.8,2471.8,2471.8,2471.8,0,2472.3,2472.3,2472.3,2472.3,0
12600000,2472.1,2472.1,2472.1,2472.1,0,2472.6,2472.6,2472.6,2472.6,0
12720000,2471.9,2472,2471.9,2472,0,2472.6,2472.6,2472.5,2472.5,0
12840000,2471.7,2471.7,2471.7,2471.7,0,2472.2,2472.2,2472.2,2472.2,0
12900000,2472,2472,2472,2472,0,2472.5,2472.5,2472.5,2472.5,0
13140000,2471.7,2471.7,2471.7,2471.7,0,2472.2,2472.2,2472.2,2472.2,0
13620000,2472,2472,2471.7,2471.7,0,2472.5,2472.5,2472.2,2472.2,0
14100000,2471.4,2471.6,2471.4,2471.6,0,2472.1,2472.1,2472.1,2472.1,0
14160000,2471.4,2471.7,2471.4,2471.7,0,2472.1,2472.3,2472,2472.2,0
