0,1.386815,1.386915,1.386745,1.386915
60000,1.38692,1.386935,1.38689,1.38692
120000,1.38691,1.38695,1.38691,1.386945
180000,1.38694,1.386945,1.386885,1.386895
240000,1.3869,1.3869,1.386875,1.38688
300000,1.386875,1.386875,1.386785,1.3868
360000,1.386795,1.386795,1.38671,1.38676
420000,1.386755,1.38681,1.386755,1.386755
480000,1.38675,1.386775,1.38675,1.38676
540000,1.386755,1.38677,1.38675,1.38677
600000,1.386765,1.386765,1.38668,1.386745
660000,1.38675,1.386785,1.38675,1.38677
720000,1.386775,1.3868,1.38675,1.38677
780000,1.386765,1.38678,1.386765,1.38678
840000,1.386775,1.38679,1.38676,1.386775
900000,1.38678,1.386885,1.386775,1.38686
960000,1.386865,1.386915,1.386865,1.386885
1020000,1.38688,1.38688,1.38686,1.386865
1080000,1.38687,1.38687,1.38687,1.38687
1140000,1.386875,1.386885,1.38687,1.38687
1200000,1.38688,1.386885,1.38684,1.386845
1260000,1.38684,1.38684,1.38683,1.38684
1320000,1.386835,1.38685,1.386815,1.386845
1380000,1.38684,1.386845,1.386785,1.386785
1440000,1.386775,1.386775,1.38659,1.386645
1500000,1.38664,1.386645,1.386575,1.386615
1560000,1.38662,1.38666,1.38662,1.38664
1620000,1.386645,1.386655,1.38664,1.38664
1680000,1.386635,1.38664,1.38657,1.38658
1740000,1.386575,1.38659,1.386555,1.38657
1800000,1.38658,1.38661,1.38658,1.38661
1860000,1.386615,1.386675,1.386615,1.38666
1920000,1.386665,1.38667,1.386655,1.38666
1980000,1.386665,1.386665,1.386655,1.38666
2040000,1.386655,1.386665,1.38664,1.38664
2100000,1.386645,1.386675,1.386635,1.386675
2160000,1.38668,1.3867,1.38666,1.386695
2220000,1.386705,1.38672,1.38668,1.38669
2280000,1.386685,1.386695,1.38668,1.386685
2340000,1.38669,1.38669,1.386675,1.386675
2400000,1.386685,1.386765,1.38668,1.386765
2460000,1.38676,1.38677,1.386755,1.38676
2520000,1.386765,1.38678,1.386755,1.386765
2580000,1.386775,1.38679,1.386755,1.38677
2640000,1.386765,1.38681,1.38673,1.38679
2700000,1.386785,1.38679,1.38673,1.386765
2760000,1.386775,1.386845,1.386765,1.386835
2820000,1.38683,1.386875,1.3868,1.386875
2880000,1.38687,1.38687,1.38686,1.38686
2940000,1.386855,1.38686,1.38684,1.38684
3000000,1.386845,1.386965,1.386845,1.386945
3060000,1.38695,1.386965,1.38694,1.38694
3120000,1.386945,1.386975,1.38694,1.386945
3180000,1.38694,1.38695,1.386925,1.386925
3240000,1.38692,1.38694,1.3868,1.3868
3300000,1.386785,1.38685,1.386735,1.38678
3360000,1.386785,1.386785,1.386775,1.386775
3420000,1.386765,1.38679,1.386765,1.38679
3480000,1.386785,1.386955,1.386785,1.38695
3540000,1.386955,1.386965,1.38688,1.38693
3600000,1.386925,1.38693,1.386855,1.38686
3660000,1.386855,1.38688,1.38682,1.386855
